location,title,subtitle,year_km_fuel,price,detail_url
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561345
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561348
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561354
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561360
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561368
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561414
Dusseldorp Alkmaar,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 66.122,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46562243
Dusseldorp Den Haag,BMW X1,sDrive20i,2025 | 10 km | Benzine,€ 68.802,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-sdrive20i-46563255
Dusseldorp Den Haag,BMW X1,sDrive20i,2025 | 10 km | Benzine,€ 68.802,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-sdrive20i-46563286
Dusseldorp Den Haag,BMW X1,xDrive25e,2025 | 10 km | Hybrid,€ 63.889,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive25e-46563759
Dusseldorp Den Haag,BMW X1,xDrive25e,2025 | 10 km | Hybrid,€ 64.939,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive25e-46563834
Dusseldorp Den Haag,BMW X1,xDrive25e,2025 | 10 km | Hybrid,€ 64.939,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive25e-46563857
Dusseldorp Den Haag,BMW X1,xDrive25e,2025 | 10 km | Hybrid,€ 64.939,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive25e-46563865
Dusseldorp Den Haag,BMW X1,xDrive25e,2025 | 10 km | Hybrid,€ 64.939,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive25e-46563876
Dusseldorp Den Haag,BMW X1,xDrive25e,2025 | 10 km | Hybrid,€ 64.939,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive25e-46563884
Dusseldorp Den Haag,BMW X1,xDrive25e,2025 | 10 km | Hybrid,€ 64.939,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive25e-46563903
Dusseldorp Den Haag,BMW X1,xDrive25e,2025 | 10 km | Hybrid,€ 65.784,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive25e-46563968
Dusseldorp Den Haag,BMW X1,xDrive30e,2025 | 10 km | Hybrid,€ 73.662,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive30e-46564295
Dusseldorp Den Haag,BMW X1,xDrive30e,2025 | 10 km | Hybrid,€ 73.662,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive30e-46564307
Dusseldorp Den Haag,BMW X1,xDrive30e,2025 | 10 km | Hybrid,€ 72.818,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-nieuw-xdrive30e-46564343
Dusseldorp Den Haag,BMW i5,eDrive40 M Sport Edition 84 kWh,2025 | 10 km | Elektrisch,€ 88.691,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-nieuw-edrive40-m-sport-edition-84-kwh-46564457
Dusseldorp Schiedam,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 63.273,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46564478
Dusseldorp Schiedam,BMW 1 Serie,120,2025 | 10 km | Benzine,€ 49.790,https://www.dusseldorpbmw.nl/aanbod/bmw-1-serie-nieuw-120-46564480
Dusseldorp Oostzaan,BMW i4,eDrive40 M Sport Edition 84 kWh,2025 | 10 km | Elektrisch,€ 77.141,https://www.dusseldorpbmw.nl/aanbod/bmw-i4-nieuw-edrive40-m-sport-edition-84-kwh-46576760
Dusseldorp Oostzaan,BMW iX1,eDrive20 67 kWh,2025 | 10 km | Elektrisch,€ 57.254,https://www.dusseldorpbmw.nl/aanbod/bmw-ix1-nieuw-edrive20-67-kwh-46577736
Dusseldorp Oostzaan,BMW i5,eDrive40 M Sport Edition 84 kWh,2025 | 10 km | Elektrisch,€ 82.672,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-nieuw-edrive40-m-sport-edition-84-kwh-46577971
Dusseldorp Oostzaan,BMW iX1,eDrive20 67 kWh,2025 | 10 km | Elektrisch,€ 57.000,https://www.dusseldorpbmw.nl/aanbod/bmw-ix1-nieuw-edrive20-67-kwh-46578785
Dusseldorp Oostzaan,BMW i5,eDrive40 M Sport Edition 84 kWh,2025 | 10 km | Elektrisch,€ 82.672,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-nieuw-edrive40-m-sport-edition-84-kwh-46579540
Dusseldorp Oostzaan,BMW iX1,eDrive20 67 kWh,2025 | 10 km | Elektrisch,€ 57.000,https://www.dusseldorpbmw.nl/aanbod/bmw-ix1-nieuw-edrive20-67-kwh-46579616
Dusseldorp Oostzaan,BMW iX,xDrive60,2025 | 10 km | Elektrisch,€ 123.895,https://www.dusseldorpbmw.nl/aanbod/bmw-ix-nieuw-xdrive60-46579878
Dusseldorp Hoorn,BMW 1 Serie,118i M-Sport,2021 | 26297 km | Benzine,€ 27.450,https://www.dusseldorpbmw.nl/aanbod/bmw-1-serie-occasion-118i-m-sport-46581856
Dusseldorp Hoorn,BMW Z4,M40i High Executive,2025 | 10 km | Benzine,€ 113.325,https://www.dusseldorpbmw.nl/aanbod/bmw-z4-nieuw-m40i-high-executive-46583432
Dusseldorp Alkmaar,BMW 3 Serie,Touring 330e M Sport Pro,2025 | 10 km | Hybrid,€ 73.958,https://www.dusseldorpbmw.nl/aanbod/bmw-3-serie-nieuw-touring-330e-m-sport-pro-46583853
Dusseldorp Oostzaan,BMW i5,eDrive40 M Sport Edition 84 kWh,2025 | 10 km | Elektrisch,€ 82.672,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-nieuw-edrive40-m-sport-edition-84-kwh-46585464
Dusseldorp Oostzaan,BMW i4,eDrive35 M Sport Edition 70 kWh,2025 | 10 km | Elektrisch,€ 67.293,https://www.dusseldorpbmw.nl/aanbod/bmw-i4-nieuw-edrive35-m-sport-edition-70-kwh-46589482
Dusseldorp Wateringen,BMW X7,xDrive40i,2025 | 6999 km | Benzine,€ 180.583,https://www.dusseldorpbmw.nl/aanbod/bmw-x7-company-car-xdrive40i-46593945
Dusseldorp Oostzaan,BMW i4,eDrive40 84 kWh,2025 | 10 km | Elektrisch,€ 71.676,https://www.dusseldorpbmw.nl/aanbod/bmw-i4-nieuw-edrive40-84-kwh-46599230
Dusseldorp Oostzaan,BMW i5,eDrive40 M Sport Edition 84 kWh,2025 | 10 km | Elektrisch,€ 82.672,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-nieuw-edrive40-m-sport-edition-84-kwh-46599285
Dusseldorp Den Haag,BMW XM,PHEV Label Red,2025 | 10 km | Hybrid,€ 227.220,https://www.dusseldorpbmw.nl/aanbod/bmw-xm-nieuw-phev-label-red-46603040
Dusseldorp Zwolle,BMW X5,xDrive50e M-Sport Pro Hybrid,2025 | 24277 km | Hybrid,€ 112.950,https://www.dusseldorpbmw.nl/aanbod/bmw-x5-occasion-xdrive50e-m-sport-pro-hybrid-46603089
Dusseldorp Brielle,BMW M4,Competition M xDrive Cabrio,2025 | 10 km | Benzine,€ 190.451,https://www.dusseldorpbmw.nl/aanbod/bmw-m4-nieuw-competition-m-xdrive-cabrio-46603292
Dusseldorp Hoorn,BMW X5,xDrive50e M Sport Pro - SEPANG BRONZE,2025 | 10 km | Hybrid,€ 141.848,https://www.dusseldorpbmw.nl/aanbod/bmw-x5-nieuw-xdrive50e-m-sport-pro---sepang-bronze-46603299
Dusseldorp Zwolle,BMW i4,eDrive40 M-Sport 84 kWh,2025 | 5 km | Elektrisch,€ 74.732,https://www.dusseldorpbmw.nl/aanbod/bmw-i4-nieuw-edrive40-m-sport-84-kwh-46603328
Dusseldorp Oostzaan,BMW i5,eDrive40 M Sport Edition 84 kWh,2025 | 10 km | Elektrisch,€ 82.672,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-nieuw-edrive40-m-sport-edition-84-kwh-46603768
Dusseldorp Oostzaan,BMW i4,eDrive35 70 kWh,2025 | 10 km | Elektrisch,€ 66.051,https://www.dusseldorpbmw.nl/aanbod/bmw-i4-nieuw-edrive35-70-kwh-46603831
Dusseldorp Oostzaan,BMW iX1,eDrive20 67 kWh,2025 | 10 km | Elektrisch,€ 62.044,https://www.dusseldorpbmw.nl/aanbod/bmw-ix1-nieuw-edrive20-67-kwh-46604069
Dusseldorp Deventer,BMW X1,xDrive30e,2024 | 31925 km | Hybrid,€ 57.450,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-occasion-xdrive30e-46604401
Dusseldorp Alkmaar,BMW Z4,Roadster sDrive20i High Executive M Sport,2022 | 14987 km | Benzine,€ 47.950,https://www.dusseldorpbmw.nl/aanbod/bmw-z4-occasion-roadster-sdrive20i-high-executive-m-sport-46626378
Dusseldorp Oostzaan,BMW iX,xDrive40 High Executive 77 kWh,2022 | 62081 km | Elektrisch,€ 46.950,https://www.dusseldorpbmw.nl/aanbod/bmw-ix-occasion-xdrive40-high-executive-77-kwh-46626563
Dusseldorp Deventer,BMW 3 Serie,318i Business Edition,2022 | 63978 km | Benzine,€ 36.450,https://www.dusseldorpbmw.nl/aanbod/bmw-3-serie-occasion-318i-business-edition-46630707
Dusseldorp Deventer,BMW i5,M60 xDrive 84 kWh,2025 | 4000 km | Elektrisch,€ 129.728,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-company-car-m60-xdrive-84-kwh-46630753
