Title,Subtitle,Year,Mileage,Fuel Type,Price,Monthly Price,Details Link,Location
BMW 5 Serie,Touring 520i | M Sportpakket | M Sportpakket Pro | Innovation Pack | Travel Pack,2025,0 km,Benzine,"99.537,-","1.310,-",https://www.ekris.nl/bmw/p/41842173/bmw-5-serie-touring-520i-41842173,Ekris Zeist
BMW X5,M50i High Executive | Safety Pack | BMW Personal CoPilot Pack | Trekhaak | Panoramadak | Driving Assistant Professional | Harman Kardon,2023,43.155 km,Benzine,"99.850,-","1.360,-",https://www.ekris.nl/bmw/p/44368514/bmw-x5-m50i-44368514,Ekris Utrecht
BMW X3,M50 | M Sportpakket Pro | Comfort Pack | 21 inch | Driving Assistant Plus | Parking Assistant Plus | Stuurwielverwarming | Comfort Access | Trekhaak,2024,19.335 km,Benzine,"99.895,-","1.360,-",https://www.ekris.nl/bmw/p/44877034/bmw-x3-m50-44877034,Ekris Arnhem
BMW i7,xDrive60 M Sport Individual Interieur / Skylounge / Active Steering / Connoisseur Pack,2024,37.633 km,Elektrisch,"99.900,-","1.178,-",https://www.ekris.nl/bmw/p/39055977/bmw-i7-xdrive60-39055977,Ekris Veenendaal
BMW X1,M35i | M Sportpakket Pro | Equipment Pack Pro | Travel Pack,2025,5 km,Benzine,"100.164,-","1.318,-",https://www.ekris.nl/bmw/p/44850346/bmw-x1-m35i-44850346,Ekris Veenendaal
BMW iX,xDrive45 M Sportpakket | M Sportpakket Pro | Comfort Pack icm M Sportpakket | Innovation Pack,2025,5 km,Elektrisch,"100.265,-","1.133,-",https://www.ekris.nl/bmw/p/45493736/bmw-ix-xdrive45-45493736,Ekris Arnhem
BMW iX,xDrive45 | M Sportpakket | Comfort Pack | Innotvation Pack,2025,5 km,Elektrisch,"101.865,-","1.151,-",https://www.ekris.nl/bmw/p/44319973/bmw-ix-xdrive45-44319973,Ekris Nijkerk
BMW iX,xDrive45 | M Sportpakket | Comfort Pack | Innovation Pack,2025,5 km,Elektrisch,"101.865,-","1.151,-",https://www.ekris.nl/bmw/p/44480927/bmw-ix-xdrive45-44480927,Ekris Flevoland
BMW 4 Serie,430i xDrive Gran Coupé | M Sportpakket Pro | Innovation Pack | Comfort Pack,2025,5 km,Benzine,"101.900,-","1.341,-",https://www.ekris.nl/bmw/p/46625150/bmw-4-serie-430i-xdrive-gran-coupe-46625150,Ekris Arnhem
BMW i5 Touring,eDrive40 M Sport Edition | Innovation Pack | Travel Pack | Comfort Pack | Stuurwielrand Verwarmd | Trekhaak | Panoramadak | Stoelventilatie | Driving Assistant Professional | Bowers & Wilkins | 20'',2025,2.987 km,Elektrisch,"101.995,-","1.153,-",https://www.ekris.nl/bmw/p/46058388/bmw-i5-touring-edrive40-46058388,Ekris Utrecht
