Vehicle Name,Vehicle Subtitle,Vehicle Price,Vehicle Tags,Business Finance,Location
BMW 3 Serie Sedan,320i xDrive,€ 61.900 v.a. € 636 p/m,2025 15.169 km Automaat Benzine,v.a. € 636 p/m,Van Poelgeest Naarden - PS Center
BMW iX3,High Executive Edition 80 kWh,€ 57.900 v.a. € 512 p/m,2024 19.411 km Automaat Elektrisch,v.a. € 512 p/m,Van Poelgeest Amstelveen
MINI Cooper 5-deurs,Cooper S John Cooper Works XL,€ 48.900 v.a. € 502 p/m,2025 4.001 km Automaat Benzine,v.a. € 502 p/m,Van Poelgeest Heemstede
BMW X5,xDrive50e l M-Sport Pro l Elek. Trekhaak,€ 109.900 v.a. € 1128 p/m,2025 12.411 km Automaat Hybride,v.a. € 1128 p/m,Van Poelgeest Amsterdam
BMW iX1,eDrive20,€ 60.009 v.a. € 530 p/m,2025 4.815 km Automaat Elektrisch,v.a. € 530 p/m,Van Poelgeest Amstelveen
Audi e-tron,55 quattro S edition 95 kWh,€ 41.900 v.a. € 438 p/m,2022 68.513 km Automaat Elektrisch,v.a. € 438 p/m,VP Cars Naarden
MINI Cooper 3-deurs Electric,Cooper SE Favoured M,€ 34.900 v.a. € 359 p/m,2024 13.586 km Automaat Elektrisch,v.a. € 359 p/m,Van Poelgeest Heemstede
BMW 1 Serie,120 Premium M Sportpakket Pro Individual,€ 44.895 v.a. € 461 p/m,2025 11.403 km Automaat Benzine,v.a. € 461 p/m,Van Poelgeest Gouda
BMW M5 Sedan,,€ 156.136 v.a. € 1492 p/m,2025 1 km Automaat Hybride,v.a. € 1492 p/m,Van Poelgeest Amersfoort
BMW i4,eDrive35 M Sport Edition,€ 74.442 v.a. € 658 p/m,2025 1 km Automaat Elektrisch,v.a. € 658 p/m,Van Poelgeest Alphen aan den Rijn
BMW X3,30e xDrive,€ 81.591 v.a. € 838 p/m,2025 4.999 km Automaat Hybride,v.a. € 838 p/m,Van Poelgeest Amsterdam
BMW X3,xDrive30e eDrive Edition,€ 39.900 v.a. € 496 p/m,2020 77.234 km Automaat Hybride,v.a. € 496 p/m,Van Poelgeest Naarden - PS Center
BMW iX1,eDrive20,€ 47.900 v.a. € 423 p/m,2025 9.999 km Automaat Elektrisch,v.a. € 423 p/m,Van Poelgeest Amersfoort
MINI Cooper 5-deurs,C John Cooper Works,€ 41.900 v.a. € 431 p/m,2025 8.467 km Automaat Benzine,v.a. € 431 p/m,Van Poelgeest Naarden - PS Center
BMW iX,xDrive45,€ 107.436 v.a. € 949 p/m,2025 1 km Automaat Elektrisch,v.a. € 949 p/m,Van Poelgeest Amstelveen
BMW X4,xDrive20i Executive Edition M Sport Individual,,2021 83.000 km Automaat Benzine,,Van Poelgeest Gouda
BMW 3 Serie Sedan,330e,€ 70.170 v.a. € 670 p/m,2025 1 km Automaat Hybride,v.a. € 670 p/m,Van Poelgeest Hilversum
BMW 2 Serie Active Tourer,225e xDrive,€ 42.900 v.a. € 440 p/m,2024 10.373 km Automaat Hybride,v.a. € 440 p/m,Van Poelgeest Amsterdam
MINI Cooper 5-deurs,Classic XS,€ 43.463 v.a. € 384 p/m,2025 1 km Automaat Overige,v.a. € 384 p/m,Van Poelgeest Naarden
BMW i5 Sedan,eDrive40 M Sport Edition,€ 87.356 v.a. € 772 p/m,2025 1 km Automaat Elektrisch,v.a. € 772 p/m,Van Poelgeest Gouda
MINI Cooper 3-deurs,Cooper S 60 Years Edition,€ 27.495 v.a. € 342 p/m,2020 75.435 km Automaat Benzine,v.a. € 342 p/m,Van Poelgeest Alphen aan den Rijn
Audi Q8,55 TFSI e quattro Pro Line,€ 84.900 v.a. € 1073 p/m,2023 24.899 km Automaat Hybride,v.a. € 1073 p/m,VP Cars Naarden
BMW iX2,eDrive20,€ 47.900 v.a. € 423 p/m,2024 14.909 km Automaat Elektrisch,v.a. € 423 p/m,Van Poelgeest Amsterdam
BMW i4,eDrive40 M Sport Edition,€ 72.412 v.a. € 640 p/m,2025 1 km Automaat Elektrisch,v.a. € 640 p/m,Van Poelgeest Heemstede
BMW X5,xDrive50e Innovation Pack M Sportpakket Pro,€ 109.895 v.a. € 1128 p/m,2025 19.399 km Automaat Hybride,v.a. € 1128 p/m,Van Poelgeest Gouda
BMW i4,eDrive35 M Sportpakket Pro,€ 57.995 v.a. € 512 p/m,2025 18.500 km Automaat Elektrisch,v.a. € 512 p/m,Van Poelgeest Alphen aan den Rijn
BMW X2,xDrive25e High Executive,€ 29.900 v.a. € 371 p/m,2020 55.521 km Automaat Hybride,v.a. € 371 p/m,Van Poelgeest Amstelveen
MINI Cooper 3-deurs Electric,E,€ 45.257 v.a. € 464 p/m,2025 4.999 km Automaat Elektrisch,v.a. € 464 p/m,Van Poelgeest Amsterdam
BMW 3 Serie Sedan,318i,€ 70.751 v.a. € 726 p/m,2025 4.999 km Automaat Benzine,v.a. € 726 p/m,Van Poelgeest Amsterdam
BMW iX2,eDrive20 M Sportpakket Pro,€ 55.895 v.a. € 493 p/m,2024 17.500 km Automaat Elektrisch,v.a. € 493 p/m,Van Poelgeest Alphen aan den Rijn
MINI Cooper 3-deurs,C,€ 53.643 v.a. € 550 p/m,2025 4.999 km Automaat Benzine,v.a. € 550 p/m,Van Poelgeest Amsterdam
BMW 2 Serie Gran Coupé,220,€ 58.517 v.a. € 601 p/m,2025 1 km Automaat Benzine,v.a. € 601 p/m,Van Poelgeest Amstelveen
MINI Cooper 3-deurs,Camden Plus Edition,€ 28.900 v.a. € 297 p/m,2023 39.118 km Automaat Benzine,v.a. € 297 p/m,Van Poelgeest Amsterdam
BMW 4 Serie Gran Coupé,430i xDrive High Executive,€ 88.006 v.a. € 903 p/m,2025 3.760 km Automaat Benzine,v.a. € 903 p/m,Van Poelgeest Amstelveen
MINI Cooper 3-deurs,C,€ 33.450 v.a. € 344 p/m,2024 11.325 km Automaat Benzine,v.a. € 344 p/m,Van Poelgeest Amsterdam
BMW 2 Serie Gran Coupé,218i Premium Pack M Sportpakket Pro,€ 46.895 v.a. € 482 p/m,2025 12.000 km Automaat Benzine,v.a. € 482 p/m,Van Poelgeest Woerden
BMW X1,sDrive20i High Executive X-Line,€ 33.900 v.a. € 421 p/m,2020 65.229 km Automaat Benzine,v.a. € 421 p/m,Van Poelgeest Hilversum
BMW 5 Serie Touring,520i High Executive M-Sport,€ 32.900 v.a. € 338 p/m,2020 120.868 km Automaat Benzine,v.a. € 338 p/m,Van Poelgeest Hilversum
BMW X3,30e xDrive Premium Pack M Sportpakket,€ 74.895 v.a. € 769 p/m,2025 13.417 km Automaat Hybride,v.a. € 769 p/m,Van Poelgeest Gouda
BMW X1,xDrive25e,€ 74.644 v.a. € 766 p/m,2025 700 km Automaat Hybride,v.a. € 766 p/m,Van Poelgeest Amstelveen
BMW 1 Serie,120,€ 54.786 v.a. € 563 p/m,2025 4.999 km Automaat Benzine,v.a. € 563 p/m,Van Poelgeest Amsterdam
BMW 2 Serie Gran Coupé,220,€ 58.368 v.a. € 599 p/m,2025 4.999 km Automaat Benzine,v.a. € 599 p/m,Van Poelgeest Amsterdam
BMW 4 Serie Coupé,M440i xDrive High Executive M-Sport,€ 66.900 v.a. € 687 p/m,2023 10.690 km Automaat Benzine,v.a. € 687 p/m,Van Poelgeest Hilversum
BMW X3,30e xDrive,€ 84.329 v.a. € 806 p/m,2025 1 km Automaat Hybride,v.a. € 806 p/m,Van Poelgeest Naarden
BMW iX,xDrive60 Innovation Pack M Sportpakket Pro,€ 120.500 v.a. € 1064 p/m,2025 5.000 km Automaat Elektrisch,v.a. € 1064 p/m,Van Poelgeest Woerden
BMW X1,xDrive30e,€ 57.900 v.a. € 594 p/m,2025 6.913 km Automaat Hybride,v.a. € 594 p/m,Van Poelgeest Amsterdam
BMW 2 Serie Gran Coupé,220,€ 47.900 v.a. € 492 p/m,2025 11.500 km Automaat Benzine,v.a. € 492 p/m,Van Poelgeest Hilversum
BMW iX3,Executive 80 kWh,€ 53.900 v.a. € 476 p/m,2024 16.016 km Automaat Elektrisch,v.a. € 476 p/m,Van Poelgeest Amsterdam
BMW X1,sDrive20i,€ 48.900 v.a. € 502 p/m,2024 13.378 km Automaat Benzine,v.a. € 502 p/m,Van Poelgeest Hilversum
BMW 3 Serie Touring,330e,€ 59.900 v.a. € 615 p/m,2024 5.369 km Automaat Hybride,v.a. € 615 p/m,Van Poelgeest Amstelveen
BMW iX2,eDrive20 M Sport Edition,€ 63.443 v.a. € 560 p/m,2025 1 km Automaat Elektrisch,v.a. € 560 p/m,Van Poelgeest Amersfoort
BMW 5 Serie Sedan,545e xDrive Business Edition Plus,€ 61.900 v.a. € 769 p/m,2023 50.054 km Automaat Hybride,v.a. € 769 p/m,Van Poelgeest Noordwijk
BMW 1 Serie,M135 xDrive,€ 84.186 v.a. € 864 p/m,2025 1 km Automaat Benzine,v.a. € 864 p/m,Van Poelgeest Amsterdam
MINI Cooper 3-deurs,1.5 Cooper C John Cooper Works M,€ 48.310 v.a. € 496 p/m,2025 1.380 km Automaat Benzine,v.a. € 496 p/m,Van Poelgeest Amstelveen
MINI Cooper 3-deurs Electric,E John Cooper Works M 40.7 kWh,€ 36.900 v.a. € 379 p/m,2025 4.875 km Automaat Elektrisch,v.a. € 379 p/m,Van Poelgeest Naarden - PS Center
BMW 2 Serie Active Tourer,220i,€ 60.003 v.a. € 616 p/m,2025 1 km Automaat Benzine,v.a. € 616 p/m,Van Poelgeest Heemstede
BMW iX1,eDrive20 M-Sport Pro Innovation,€ 63.118 v.a. € 558 p/m,2025 4.001 km Automaat Elektrisch,v.a. € 558 p/m,Van Poelgeest Heemstede
BMW 5 Serie Sedan,540d xDrive,€ 84.900 v.a. € 872 p/m,2024 4.711 km Automaat Diesel,v.a. € 872 p/m,Van Poelgeest Naarden - PS Center
BMW i4,eDrive35 M Sport Edition,€ 72.447 v.a. € 640 p/m,2025 1 km Automaat Elektrisch,v.a. € 640 p/m,Van Poelgeest Hilversum
MINI Aceman,SE Favoured XL,€ 54.157 v.a. € 556 p/m,2025 2.780 km Automaat Elektrisch,v.a. € 556 p/m,Van Poelgeest Amstelveen
BMW X1,xDrive25e,€ 33.900 v.a. € 348 p/m,2022 88.507 km Automaat Hybride,v.a. € 348 p/m,Van Poelgeest Noordwijk
MINI Aceman,E John Cooper Works M,€ 43.290 v.a. € 383 p/m,2025 1 km Automaat Elektrisch,v.a. € 383 p/m,Van Poelgeest Amstelveen
BMW iX2,eDrive20 M Sport Edition,€ 63.084 v.a. € 557 p/m,2025 1 km Automaat Elektrisch,v.a. € 557 p/m,Van Poelgeest Noordwijk
BMW M3,Cabrio E46,€ 49.900 v.a. € 620 p/m,2005 87.152 km Automaat Benzine,v.a. € 620 p/m,Van Poelgeest Naarden - PS Center
BMW iX,xDrive40,€ 46.900 v.a. € 501 p/m,2022 30.639 km Automaat Elektrisch,v.a. € 501 p/m,Van Poelgeest Hilversum
BMW 8 Serie Gran Coupé,840i xDrive High Executive,€ 129.900 v.a. € 1334 p/m,2025 1.550 km Automaat Benzine,v.a. € 1334 p/m,Van Poelgeest Amstelveen
BMW iX1,eDrive20 M Sportpakket Pro,€ 49.895 v.a. € 440 p/m,2024 11.682 km Automaat Elektrisch,v.a. € 440 p/m,Van Poelgeest Gouda
MINI Cooper 3-deurs,1.5 Cooper C John Cooper Works M,€ 36.900 v.a. € 379 p/m,2024 22.000 km Automaat Benzine,v.a. € 379 p/m,Van Poelgeest Noordwijk
MINI Cooper 3-deurs,Cooper C Essential XS,€ 40.795 v.a. € 360 p/m,2025 1 km Automaat Benzine,v.a. € 360 p/m,Van Poelgeest Heemstede
BMW X3,30e xDrive,€ 82.834 v.a. € 791 p/m,2025 1 km Automaat Hybride,v.a. € 791 p/m,Van Poelgeest Heemstede
BMW iX2,eDrive20 M Sport Edition,€ 62.109 v.a. € 549 p/m,2025 1 km Automaat Elektrisch,v.a. € 549 p/m,Van Poelgeest Naarden
BMW 4 Serie Coupé,420i,€ 77.749 v.a. € 798 p/m,2025 1 km Automaat Benzine,v.a. € 798 p/m,Van Poelgeest Amstelveen
BMW X5,xDrive50e,€ 109.900 v.a. € 1128 p/m,2025 13.822 km Automaat Hybride,v.a. € 1128 p/m,Van Poelgeest Amstelveen
BMW i5 Sedan,eDrive40 M Sport Edition,€ 91.693 v.a. € 810 p/m,2025 1 km Automaat Elektrisch,v.a. € 810 p/m,Van Poelgeest Amstelveen
BMW X5,xDrive50e,€ 114.900 v.a. € 1179 p/m,2025 7.879 km Automaat Hybride,v.a. € 1179 p/m,Van Poelgeest Amersfoort
BMW i5 Sedan,M60 xDrive,€ 117.819 v.a. € 1040 p/m,2025 1 km Automaat Elektrisch,v.a. € 1040 p/m,Van Poelgeest Hilversum
BMW iX3,High Executive,€ 56.900 v.a. € 502 p/m,2024 22.755 km Automaat Elektrisch,v.a. € 502 p/m,Van Poelgeest Hilversum
BMW iX,xDrive40 High Executive,€ 46.895 v.a. € 501 p/m,2021 44.299 km Automaat Elektrisch,v.a. € 501 p/m,Van Poelgeest Alphen aan den Rijn
MINI Countryman,1.5 C,€ 55.541 v.a. € 570 p/m,2025 1.210 km Automaat Benzine,v.a. € 570 p/m,Van Poelgeest Amstelveen
BMW i7,xDrive60 106 kWh,€ 98.500 v.a. € 870 p/m,2023 37.971 km Automaat Elektrisch,v.a. € 870 p/m,Van Poelgeest Amsterdam
BMW iX,xDrive50,€ 94.900 v.a. € 838 p/m,2024 11.348 km Automaat Elektrisch,v.a. € 838 p/m,Van Poelgeest Amsterdam
MINI Countryman,C John Cooper Works M,€ 56.814 v.a. € 502 p/m,2025 1 km Automaat Benzine,v.a. € 502 p/m,Van Poelgeest Amstelveen
BMW i5 Touring,eDrive40 M Sport Edition,€ 97.033 v.a. € 857 p/m,2025 6.000 km Automaat Elektrisch,v.a. € 857 p/m,Van Poelgeest Amstelveen
BMW i5 Sedan,eDrive40,€ 87.631 v.a. € 774 p/m,2025 4.999 km Automaat Elektrisch,v.a. € 774 p/m,Van Poelgeest Amsterdam
BMW 3 Serie Touring,330e Innovation Pack M Sportpakket Pro,€ 58.895 v.a. € 605 p/m,2024 16.981 km Automaat Hybride,v.a. € 605 p/m,Van Poelgeest Woerden
BMW X3,xDrive30e High Executive,€ 68.900 v.a. € 707 p/m,2024 12.696 km Automaat Hybride,v.a. € 707 p/m,Van Poelgeest Noordwijk
MINI Cooper 5-deurs,1.5 Cooper C Essential XS,€ 41.290 v.a. € 424 p/m,2024 6.883 km Automaat Benzine,v.a. € 424 p/m,Van Poelgeest Amstelveen
BMW M5,Sedan,€ 65.900 v.a. € 819 p/m,2018 126.829 km Automaat Benzine,v.a. € 819 p/m,Van Poelgeest Hilversum
BMW 5 Serie Touring,530e,€ 71.900 v.a. € 738 p/m,2024 10.918 km Automaat Hybride,v.a. € 738 p/m,Van Poelgeest Amsterdam
BMW iX1,xDrive30 Launch Edition 67 kWh,€ 43.900 v.a. € 469 p/m,2023 36.850 km Automaat Elektrisch,v.a. € 469 p/m,Van Poelgeest Naarden - PS Center
BMW 5 Serie Touring,530e xDrive High Executive M-Sport,€ 78.900 v.a. € 810 p/m,2024 4.459 km Automaat Hybride,v.a. € 810 p/m,Van Poelgeest Hilversum
BMW iX3,High Executive 80 kWh,€ 56.900 v.a. € 502 p/m,2024 21.858 km Automaat Elektrisch,v.a. € 502 p/m,Van Poelgeest Amsterdam
BMW 4 Serie Gran Coupé,430i Business Edition Plus,€ 57.900 v.a. € 594 p/m,2024 32.022 km Automaat Benzine,v.a. € 594 p/m,Van Poelgeest Amstelveen
BMW iX1,eDrive20 67 kWh,€ 64.806 v.a. € 573 p/m,2025 893 km Automaat Elektrisch,v.a. € 573 p/m,Van Poelgeest Amstelveen
BMW i5 Sedan,eDrive40 M Sport Edition,€ 86.993 v.a. € 769 p/m,2025 1 km Automaat Elektrisch,v.a. € 769 p/m,Van Poelgeest Amsterdam
BMW iX,xDrive45 Innovation Pack M Sportpakket Pro,€ 112.581 v.a. € 994 p/m,2025 7.500 km Automaat Elektrisch,v.a. € 994 p/m,Van Poelgeest Gouda
MINI Aceman,E Essential XS,€ 37.690 v.a. € 333 p/m,2025 1 km Automaat Elektrisch,v.a. € 333 p/m,Van Poelgeest Amstelveen
BMW 2 Serie Gran Coupé,M235 xDrive Innovation M Sportpakket Pro,€ 77.495 v.a. € 796 p/m,2025 4.100 km Automaat Benzine,v.a. € 796 p/m,Van Poelgeest Woerden
MINI Cooper 3-deurs,S,€ 42.250 v.a. € 434 p/m,2024 8.999 km Automaat Benzine,v.a. € 434 p/m,Van Poelgeest Amsterdam
BMW X3,30e xDrive,€ 83.906 v.a. € 802 p/m,2025 1 km Automaat Hybride,v.a. € 802 p/m,Van Poelgeest Amersfoort
BMW i4,M50 High Executive 84 kWh,€ 54.900 v.a. € 587 p/m,2023 19.282 km Automaat Elektrisch,v.a. € 587 p/m,Van Poelgeest Naarden - PS Center
BMW i5 Sedan,eDrive40 M Sport Edition,€ 89.438 v.a. € 790 p/m,2025 1 km Automaat Elektrisch,v.a. € 790 p/m,Van Poelgeest Gouda
BMW iX1,eDrive20,€ 52.900 v.a. € 467 p/m,2025 4.999 km Automaat Elektrisch,v.a. € 467 p/m,Van Poelgeest Amsterdam
BMW 4 Serie Coupé,420i,€ 77.048 v.a. € 791 p/m,2025 1 km Automaat Benzine,v.a. € 791 p/m,Van Poelgeest Amersfoort
BMW 3 Serie Touring,330e,€ 33.900 v.a. € 348 p/m,2021 62.744 km Automaat Hybride,v.a. € 348 p/m,Van Poelgeest Amsterdam
BMW i5 Sedan,xDrive40,€ 94.088 v.a. € 831 p/m,2025 1 km Automaat Elektrisch,v.a. € 831 p/m,Van Poelgeest Amsterdam
BMW iX1,eDrive20 67 kWh,€ 61.900 v.a. € 547 p/m,2025 4.000 km Automaat Elektrisch,v.a. € 547 p/m,Van Poelgeest Naarden - PS Center
BMW iX,M60 High Executive 112 kWh,€ 89.900 v.a. € 794 p/m,2024 8.036 km Automaat Elektrisch,v.a. € 794 p/m,Van Poelgeest Naarden - PS Center
BMW i4,eDrive35 M Sport Edition,€ 70.761 v.a. € 625 p/m,2025 1.500 km Automaat Elektrisch,v.a. € 625 p/m,Van Poelgeest Amstelveen
BMW 2 Serie Active Tourer,225e xDrive,€ 39.900 v.a. € 496 p/m,2023 52.549 km Automaat Hybride,v.a. € 496 p/m,Van Poelgeest Naarden - PS Center
BMW 2 Serie Active Tourer,218i,€ 57.565 v.a. € 591 p/m,2025 1 km Automaat Benzine,v.a. € 591 p/m,Van Poelgeest Hilversum
BMW 3 Serie Touring,318i,€ 54.900 v.a. € 564 p/m,2025 24.999 km Automaat Benzine,v.a. € 564 p/m,Van Poelgeest Amersfoort
BMW i4,eDrive35 M Sport Edition,€ 69.781 v.a. € 617 p/m,2025 1 km Automaat Elektrisch,v.a. € 617 p/m,Van Poelgeest Amsterdam
BMW iX2,eDrive20,€ 57.992 v.a. € 512 p/m,2025 4.999 km Automaat Elektrisch,v.a. € 512 p/m,Van Poelgeest Amsterdam
BMW iX2,eDrive20,€ 56.284 v.a. € 498 p/m,2025 1.570 km Automaat Elektrisch,v.a. € 498 p/m,Van Poelgeest Amstelveen
MINI Countryman Electric,E John Cooper Works Pakket L,€ 44.900 v.a. € 461 p/m,2024 10.814 km Automaat Elektrisch,v.a. € 461 p/m,Van Poelgeest Naarden - PS Center
BMW 3 Serie Touring,330i xDrive,€ 57.900 v.a. € 594 p/m,2024 4.250 km Automaat Benzine,v.a. € 594 p/m,Van Poelgeest Amersfoort
BMW 3 Serie Sedan,330e Innovatiepakket Model Sport Line,€ 35.895 v.a. € 446 p/m,2020 63.936 km Automaat Hybride,v.a. € 446 p/m,Van Poelgeest Woerden
BMW 4 Serie Gran Coupé,420i,€ 83.791 v.a. € 860 p/m,2025 1 km Automaat Benzine,v.a. € 860 p/m,Van Poelgeest Amstelveen
BMW i5 Touring,eDrive40 M Sport Edition Innovation Pack,€ 73.895 v.a. € 653 p/m,2025 8.000 km Automaat Elektrisch,v.a. € 653 p/m,Van Poelgeest Gouda
BMW iX,xDrive60,€ 122.290 v.a. € 1080 p/m,2025 1 km Automaat Elektrisch,v.a. € 1080 p/m,Van Poelgeest Hilversum
BMW 2 Serie Gran Coupé,218i High Executive M Sport Edition,€ 31.995 v.a. € 397 p/m,2022 53.730 km Automaat Benzine,v.a. € 397 p/m,Van Poelgeest Alphen aan den Rijn
BMW iX,xDrive50 High Executive Sportpakket,€ 62.495 v.a. € 552 p/m,2022 68.484 km Automaat Elektrisch,v.a. € 552 p/m,Van Poelgeest Gouda
BMW 4 Serie Gran Coupé,420i,€ 85.541 v.a. € 879 p/m,2025 4.999 km Automaat Benzine,v.a. € 879 p/m,Van Poelgeest Amsterdam
BMW i7,eDrive50 Privilege Edition,€ 146.374 v.a. € 1293 p/m,2025 1 km Automaat Elektrisch,v.a. € 1293 p/m,Van Poelgeest Noordwijk
BMW X2,sDrive18i High Executive,€ 28.900 v.a. € 359 p/m,2019 65.263 km Automaat Benzine,v.a. € 359 p/m,Van Poelgeest Naarden - PS Center
BMW iX1,eDrive20 67 kWh M Sport Edition,€ 49.984 v.a. € 441 p/m,2025 1 km Automaat Elektrisch,v.a. € 441 p/m,Van Poelgeest Amsterdam
MINI Cooper 3-deurs,C,€ 45.618 v.a. € 469 p/m,2025 4.999 km Automaat Benzine,v.a. € 469 p/m,Van Poelgeest Amsterdam
BMW X5,xDrive50e Innovation Pack M Sportpakket,€ 106.895 v.a. € 1098 p/m,2025 9.611 km Automaat Hybride,v.a. € 1098 p/m,Van Poelgeest Alphen aan den Rijn
BMW X3,30e xDrive Professional Pack M Sportpakket,€ 73.895 v.a. € 759 p/m,2025 18.108 km Automaat Hybride,v.a. € 759 p/m,Van Poelgeest Alphen aan den Rijn
BMW X5,xDrive50e Innovation Pack M Sportpakket,€ 89.495 v.a. € 1112 p/m,2023 38.449 km Automaat Hybride,v.a. € 1112 p/m,Van Poelgeest Woerden
BMW i4,eDrive40 M Sport Edition M Sportpakket Pro,€ 73.379 v.a. € 648 p/m,2025 7.500 km Automaat Elektrisch,v.a. € 648 p/m,Van Poelgeest Alphen aan den Rijn
MINI Countryman,C John Cooper Works XL,€ 57.900 v.a. € 594 p/m,2025 4.867 km Automaat Benzine,v.a. € 594 p/m,Van Poelgeest Naarden - PS Center
BMW Z4,sDrive20i Business Edition Plus High Executive,€ 43.895 v.a. € 545 p/m,2021 89.228 km Automaat Benzine,v.a. € 545 p/m,Van Poelgeest Gouda
BMW 1 Serie,118i,€ 36.900 v.a. € 379 p/m,2024 12.226 km Automaat Benzine,v.a. € 379 p/m,Van Poelgeest Naarden - PS Center
BMW i5 Sedan,eDrive40 M Sport Edition 84 kWh,€ 87.900 v.a. € 776 p/m,2025 4.000 km Automaat Elektrisch,v.a. € 776 p/m,Van Poelgeest Naarden - PS Center
BMW i4,eDrive35 M Sport Edition,€ 74.442 v.a. € 658 p/m,2025 1 km Automaat Elektrisch,v.a. € 658 p/m,Van Poelgeest Amstelveen
BMW i5 Sedan,eDrive40,€ 90.553 v.a. € 800 p/m,2025 2.400 km Automaat Elektrisch,v.a. € 800 p/m,Van Poelgeest Amstelveen
BMW X1,sDrive20i VDL Nedcar Edition,€ 31.900 v.a. € 396 p/m,2019 62.844 km Automaat Benzine,v.a. € 396 p/m,Van Poelgeest Amsterdam
BMW iX1,xDrive30 67 kWh,€ 41.900 v.a. € 370 p/m,2024 29.367 km Automaat Elektrisch,v.a. € 370 p/m,Van Poelgeest Amersfoort
BMW X7,xDrive40i,€ 97.900 v.a. € 1216 p/m,2022 46.321 km Automaat Benzine,v.a. € 1216 p/m,Van Poelgeest Amersfoort
MINI Countryman,C,€ 61.326 v.a. € 630 p/m,2025 100 km Automaat Benzine,v.a. € 630 p/m,Van Poelgeest Amsterdam
BMW i4,eDrive40 84 kWh,€ 56.900 v.a. € 502 p/m,2025 22.279 km Automaat Elektrisch,v.a. € 502 p/m,Van Poelgeest Heemstede
BMW X3,30e xDrive Professional Pack M Sportpakket Pro,€ 85.848 v.a. € 881 p/m,2025 5.000 km Automaat Hybride,v.a. € 881 p/m,Van Poelgeest Gouda
BMW X3,M40i xDrive High Executive,€ 52.900 v.a. € 657 p/m,2018 96.666 km Automaat Benzine,v.a. € 657 p/m,Van Poelgeest Naarden - PS Center
Mini Cooper 3-deurs,Cooper S Favoured,€ 44.900 v.a. € 469 p/m,2025 25 km Automaat Benzine,v.a. € 469 p/m,Van Poelgeest Amstelveen
BMW 4 Serie Coupé,M440i xDrive High Executive,€ 59.995 v.a. € 745 p/m,2022 43.715 km Automaat Benzine,v.a. € 745 p/m,Van Poelgeest Alphen aan den Rijn
BMW 5 Serie Sedan,520i M Sportpakket,€ 74.995 v.a. € 770 p/m,2024 24.998 km Automaat Benzine,v.a. € 770 p/m,Van Poelgeest Woerden
BMW 1 Serie,120i Edition M Sport Shadow High Executive,€ 29.900 v.a. € 371 p/m,2019 56.437 km Automaat Benzine,v.a. € 371 p/m,Van Poelgeest Naarden - PS Center
BMW X3,xDrive30e,€ 59.900 v.a. € 615 p/m,2023 21.916 km Automaat Hybride,v.a. € 615 p/m,Van Poelgeest Amsterdam
MINI Countryman Electric,E Classic Uitvoering Pakket M Plus,€ 39.450 v.a. € 405 p/m,2024 19.075 km Automaat Elektrisch,v.a. € 405 p/m,Van Poelgeest Woerden
MINI Cooper 3-deurs,1.5 Cooper C Essential XS,€ 40.195 v.a. € 412 p/m,2025 3.270 km Automaat Benzine,v.a. € 412 p/m,Van Poelgeest Amstelveen
BMW 5 Serie Touring,530e M Sport Edition,€ 87.839 v.a. € 839 p/m,2025 1 km Automaat Hybride,v.a. € 839 p/m,Van Poelgeest Gouda
BMW iX1,eDrive20,€ 47.900 v.a. € 423 p/m,2025 9.999 km Automaat Elektrisch,v.a. € 423 p/m,Van Poelgeest Amersfoort
BMW iX1,eDrive20 Innovation Pack M Sportpakket,€ 43.895 v.a. € 388 p/m,2024 30.164 km Automaat Elektrisch,v.a. € 388 p/m,Van Poelgeest Alphen aan den Rijn
MINI Cooper 3-deurs,C,€ 46.791 v.a. € 480 p/m,2025 4.999 km Automaat Benzine,v.a. € 480 p/m,Van Poelgeest Amsterdam
BMW 3 Serie Touring,330e M Sportpakket,€ 39.495 v.a. € 406 p/m,2023 120.391 km Automaat Hybride,v.a. € 406 p/m,Van Poelgeest Alphen aan den Rijn
MINI Cooper 3-deurs Electric,SE,€ 33.900 v.a. € 348 p/m,2024 17.509 km Automaat Elektrisch,v.a. € 348 p/m,Van Poelgeest Amstelveen
BMW 3 Serie Touring,320i Executive Edition,€ 33.900 v.a. € 421 p/m,2020 97.085 km Automaat Benzine,v.a. € 421 p/m,Van Poelgeest Naarden - PS Center
MINI Cooper 3-deurs Electric,Charged,€ 16.495 v.a. € 169 p/m,2020 79.045 km Automaat Elektrisch,v.a. € 169 p/m,Van Poelgeest Alphen aan den Rijn
BMW 2 Serie Gran Coupé,220 M Sport Design Edition,€ 49.900 v.a. € 512 p/m,2025 12.216 km Automaat Benzine,v.a. € 512 p/m,Van Poelgeest Naarden - PS Center
BMW 2 Serie Active Tourer,220i,€ 61.765 v.a. € 634 p/m,2025 1 km Automaat Benzine,v.a. € 634 p/m,Van Poelgeest Naarden
BMW X4,M40i Business Edition Plus,€ 62.900 v.a. € 781 p/m,2021 64.754 km Automaat Benzine,v.a. € 781 p/m,Van Poelgeest Amsterdam
BMW i5 Touring,eDrive40 M Sport Edition,€ 79.900 v.a. € 706 p/m,2025 4.501 km Automaat Elektrisch,v.a. € 706 p/m,Van Poelgeest Heemstede
BMW X5,xDrive50e,€ 94.900 v.a. € 974 p/m,2024 35.279 km Automaat Hybride,v.a. € 974 p/m,Van Poelgeest Hilversum
