Vehicle Name,Vehicle Subtitle,Vehicle Price,Vehicle Tags,Business Finance,Location
BMW iX2,xDrive30,€ 57.900 v.a. € 512 p/m,2024 6.339 km Automaat Elektrisch,v.a. € 512 p/m,Van Poelgeest Amsterdam
BMW i5 Sedan,eDrive40 M Sport Edition,€ 86.993 v.a. € 769 p/m,2025 1 km Automaat Elektrisch,v.a. € 769 p/m,Van Poelgeest Alphen aan den Rijn
MINI Cooper 3-deurs,S,€ 58.123 v.a. € 597 p/m,2025 4.999 km Automaat Benzine,v.a. € 597 p/m,Van Poelgeest Amsterdam
BMW 3 Serie Touring,320i,€ 76.435 v.a. € 785 p/m,2025 4.001 km Automaat Benzine,v.a. € 785 p/m,Van Poelgeest Heemstede
BMW 3 Serie Touring,320i,€ 52.900 v.a. € 543 p/m,2024 18.791 km Automaat Benzine,v.a. € 543 p/m,Van Poelgeest Amersfoort
BMW i4,eDrive35,€ 72.639 v.a. € 641 p/m,2025 4.999 km Automaat Elektrisch,v.a. € 641 p/m,Van Poelgeest Amsterdam
BMW iX1,eDrive20,€ 49.900 v.a. € 440 p/m,2024 12.933 km Automaat Elektrisch,v.a. € 440 p/m,Van Poelgeest Amsterdam
BMW X5 M,Competition,€ 152.900 v.a. € 1899 p/m,2023 39.306 km Automaat Benzine,v.a. € 1899 p/m,Van Poelgeest Amsterdam
BMW iX1,eDrive20 Innovation Pack M Sportpakket Pro,€ 61.797 v.a. € 545 p/m,2025 5.500 km Automaat Elektrisch,v.a. € 545 p/m,Van Poelgeest Alphen aan den Rijn
BMW 2 Serie Active Tourer,218i High Executive M-Sport,€ 44.500 v.a. € 457 p/m,2024 22.506 km Automaat Benzine,v.a. € 457 p/m,Van Poelgeest Amstelveen
BMW i3,120Ah 42 kWh,€ 24.900 v.a. € 220 p/m,2022 38.525 km Automaat Elektrisch,v.a. € 220 p/m,Van Poelgeest Noordwijk
BMW iX,xDrive40 High Executive,€ 42.900 v.a. € 459 p/m,2022 105.868 km Automaat Elektrisch,v.a. € 459 p/m,Van Poelgeest Hilversum
BMW X3,20 xDrive,€ 77.900 v.a. € 800 p/m,2025 13.854 km Automaat Benzine,v.a. € 800 p/m,Van Poelgeest Hilversum
BMW iX3,High Executive 80 kWh,€ 55.900 v.a. € 493 p/m,2024 21.148 km Automaat Elektrisch,v.a. € 493 p/m,Van Poelgeest Amsterdam
BMW iX2,xDrive30 Premium Pack Sportpakket Pro,€ 69.645 v.a. € 615 p/m,2025 6.000 km Automaat Elektrisch,v.a. € 615 p/m,Van Poelgeest Alphen aan den Rijn
BMW 1 Serie,120,€ 40.900 v.a. € 420 p/m,2024 9.679 km Automaat Benzine,v.a. € 420 p/m,Van Poelgeest Amersfoort
BMW iX3,High Executive 80 kWh,€ 37.900 v.a. € 335 p/m,2021 75.629 km Automaat Elektrisch,v.a. € 335 p/m,Van Poelgeest Naarden - PS Center
BMW iX,xDrive50 Excellence 112 kWh,€ 82.900 v.a. € 732 p/m,2024 6.815 km Automaat Elektrisch,v.a. € 732 p/m,Van Poelgeest Amsterdam
BMW X5,xDrive50e,€ 102.900 v.a. € 1056 p/m,2025 19.061 km Automaat Hybride,v.a. € 1056 p/m,Van Poelgeest Heemstede
BMW 2 Serie Coupé,220i,€ 71.508 v.a. € 734 p/m,2025 1 km Automaat Benzine,v.a. € 734 p/m,Van Poelgeest Amsterdam
